X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-80.68227993,32.3894647,8581,11,NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,BEAUFORT,45013,USA,32.3894647,-80.68227993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://www.med.navy.mil/sites/nhbeaufort/Pages/Welcome_Page.aspx,NOT AVAILABLE,NOT AVAILABLE,45,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,N
-102.5412902,43.02367851,8577,4057770,PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD,57770,NOT AVAILABLE,(605) 747-2231,CRITICAL ACCESS,OPEN,45,SHANNON,46113,USA,43.02367851,-102.5412902,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.ihs.gov/,2018-03-27T00:00:00.000Z,IMAGERY WITH OTHER,2018-05-11T00:00:00.000Z,https://www.ihs.gov/greatplains/healthcarefacilities/pineridge/,NOT AVAILABLE,NOT AVAILABLE,46,GOVERNMENT - FEDERAL,-999,45,NOT AVAILABLE,NOT AVAILABLE
-96.47063294,42.2325136,8578,4468071,WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE,68071,NOT AVAILABLE,(402) 878-2231,CRITICAL ACCESS,OPEN,-999,THURSTON,31173,USA,42.2325136,-96.47063294,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.ihs.gov/,2018-03-27T00:00:00.000Z,IMAGERY WITH OTHER,2018-05-11T00:00:00.000Z,http://www.ihs.gov/aberdeen/winnebago/,NOT AVAILABLE,NOT AVAILABLE,31,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,NOT AVAILABLE
-113.0197302,48.5656912,8579,4659417,BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT,59417,NOT AVAILABLE,(406) 338-6230,CRITICAL ACCESS,OPEN,-999,GLACIER,30035,USA,48.5656912,-113.0197302,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.ihs.gov/,2018-03-27T00:00:00.000Z,IMAGERY WITH OTHER,2018-05-11T00:00:00.000Z,http://www.ihs.gov/billings/index.cfm?module=bao_su_blackfeet,NOT AVAILABLE,NOT AVAILABLE,30,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,NOT AVAILABLE
-96.77244571,39.07919232,8580,8,IRWIN ARMY COMMUNITY HOSPITAL,600 CAISSON HILL RD,FORT RILEY,KS,66442,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,GEARY,20061,USA,39.07919232,-96.77244571,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://iach.amedd.army.mil/,NOT AVAILABLE,NOT AVAILABLE,20,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,Y
-80.68227993,32.3894647,8581,11,NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,BEAUFORT,45013,USA,32.3894647,-80.68227993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://www.med.navy.mil/sites/nhbeaufort/Pages/Welcome_Page.aspx,NOT AVAILABLE,NOT AVAILABLE,45,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,N
-147.6622292,64.82970024,8582,22,BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,NOT AVAILABLE,(907) 361-5172,MILITARY,OPEN,-999,FAIRBANKS NORTH STAR,2090,USA,64.82970024,-147.6622292,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,www.alaska.amedd.army.mil/,NOT AVAILABLE,NOT AVAILABLE,2,GOVERNMENT - FEDERAL,-999,-999,NOT DESIGNATED,Y
-76.30576791,36.84541393,8583,16,NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,PORTSMOUTH,51740,USA,36.84541393,-76.30576791,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://www.med.navy.mil/sites/NMCP2/Pages/Default.aspx,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,Y
-115.0492819,36.24602701,8584,21,99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,4700 LAS VEGAS BLVD N,NELLIS AFB,NV,89191,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,CLARK,32003,USA,36.24602701,-115.0492819,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://www.nellis.af.mil/units/nellismedicalcenter/index.asp,NOT AVAILABLE,NOT AVAILABLE,32,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,N
-87.29861569,30.39856995,8585,15,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,NOT AVAILABLE,(850) 505-6601,MILITARY,OPEN,-999,ESCAMBIA,12033,USA,30.39856995,-87.29861569,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2018-02-28T00:00:00.000Z,IMAGERY WITH OTHER,2018-04-20T00:00:00.000Z,http://www.med.navy.mil/SITES/PCOLA/Pages/default.aspx,NOT AVAILABLE,NOT AVAILABLE,12,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,Y
