address,city,country,keys,latitude,longitude,name,postalCode,province,websites
602 Highway 31 SW,Hartselle,US,us/al/hartselle/602highway31sw/-864103396,34.439438,-86.940455,Taco Bell,35640,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/hartselle/602-highway-31-south.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029149andutm_content=website"
324 W Bypass,Andalusia,US,us/al/andalusia/324wbypass/93075755,31.30789,-86.4999,Arby's,36420,AL,"http://www.arbys.com,https://locations.arbys.com/us/al/andalusia/324-west-bypass.html"
6694 Highway 431 S,Owens Cross Roads,US,us/al/owenscrossroads/6694highway431s/-864103396,34.657839,-86.483357,Taco Bell,35763,AL,http://www.tacobell.com
220 S Main St,Atmore,US,us/al/atmore/220smainst/-2061630068,31.02181,-87.49386,Burger King,36502,AL,"http://www.bk.com,https://locations.bk.com/al/atmore/220-south-main-st.html,https://www.bk.com"
11292 Old 63 S,Lucedale,US,us/al/lucedale/11292old63s/-2061630068,30.733883,-88.4936,Burger King,39452-6632,AL,http://bk.com
2395 Pass Rd,Biloxi,US,us/al/biloxi/2395passrd/-2061630068,30.40158,-88.97576,Burger King,39531,AL,"https://locations.bk.com/ms/biloxi/2395-pass-rd.html,http://www.bk.com"
309 S Pearson Rd.,Pearl,US,us/al/pearl/309spearsonrd./1082608893,32.26905,-90.13568,Waffle House,39208,AL,
4337 Robinson St,Jackson,US,us/al/jackson/4337robinsonst/-1103173748,32.300625709,-90.258128236,Popeye's Chicken & Biscuits,39209,AL,http://popeyes.com
4725 Clinton Blvd,Jackson,US,us/al/jackson/4725clintonblvd/-1103173748,32.328147485,-90.251587368,Popeye's Chicken & Biscuits,39209,AL,http://popeyes.com
1195 Greenmor Dr,Bessemer,US,us/al/bessemer/1195greenmordr/-1161002137,33.336959,-86.922153,McDonald's,35022,AL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
3545 Pelham Pkwy,Pelham,US,us/al/pelham/3545pelhampkwy/1780593795,33.26731,-86.80972,SONIC Drive In,35124,AL,"https://locations.sonicdrivein.com/al/pelham/3545-pelham-parkway.html,http://sonicdrivein.com"
1668 Gadsden Hwy,Birmingham,US,us/al/birmingham/1668gadsdenhwy/93075755,33.60165,-86.6397,Arby's,35235,AL,"https://locations.arbys.com/us/al/birmingham/1668-gadsden-hwy.html,http://www.arbys.com,http://locations.arbys.com/us/al/birmingham/1668-gadsden-hwy.html"
